objectid,GlobalID,AdminState,Plot ID,Plot Key,ProjectName,Office,Crew Number,Date,DateFormat,Observer,Recorder,Person checking values,Person recording values,Comments,Plot Layout,PlotLayoutNotes,Plot Shape,Plot Area,Plot Radius,Plot Length,Plot Width,Are Plant Species Present?,Search Time,All Unknown Codes used,All Species in the form,CreationDate,Creator,EditDate,Editor,AllSpeciesCheck,x,y
1,ca5b792b-5973-44ed-9549-39d4c8f07ff9,ID,SD-2022-226,ID_OFO_LUP_2022_SD-2022-226_V2,ID_OFO_LUP_2022,IDB03,11,4/24/2024 18:00,2024-04-24,Jordan Rodriguez,Jordan Rodriguez,,,,Spoke,,circle,2827.43,30,,,Yes,22,,"BRTE, ERCI6, GRSP, DESO2, SATR12, POSE, ERNA10, CHVI8, AMTE3, BASA3, ARTRW8, ATCO, EROV, PHLO2, SPMU2, TRDU, ASPU9, CHTE2, CETE5",04/29/2024 17:30:13.207,jordantylerrodriguez,05/30/2024 19:21:19.958,nredecker2,"BRTE, ERCI6, GRSP, DESO2, SATR12, POSE, ERNA10, CHVI8, AMTE3, BASA3, ARTRW8, ATCO, EROV, PHLO2, SPMU2, TRDU, ASPU9, CHTE2, CETE5",-116.5090257,43.06532678
2,36124395-e89b-48cd-8157-c8a2fecc1321,ID,SD-2022-NR-006,ID_OFO_LUP_2022_SD-2022-NR-006_V1,ID_OFO_LUP_2022,IDB03,11,4/25/2024 18:00,2024-04-25,Jordan Rodriguez,Jordan Rodriguez,,,,Spoke,,circle,2827.43,30,,,Yes,24,"AF11001, AF11002, PF11002, PF11001, AG11001","BRTE, CHVI8, ERNA10, HECO26, GRSP, LAGL5, MACA2, AMTE3, DESO2, AFXXXX, AFXXXX, CRCI2, PFXXXX, PIDE4, TESP2, ATCA2, SAVE4, ARTRW8, BASA3, PFXXXX, ERCI6, OEPA, AGXXXX, MEAL6, PHLO2, CRPT",04/29/2024 17:30:15.195,jordantylerrodriguez,05/30/2024 19:21:21.122,nredecker2,"BRTE, CHVI8, ERNA10, HECO26, GRSP, LAGL5, MACA2, AMTE3, DESO2, AFXXXX, AFXXXX, CRCI2, PFXXXX, PIDE4, TESP2, ATCA2, SAVE4, ARTRW8, BASA3, PFXXXX, ERCI6, OEPA, AGXXXX, MEAL6, PHLO2, CRPT",-116.4179171,43.06153826
3,5ac820aa-0d48-4473-8472-3902dbfb0691,ID,SD-2022-228,ID_OFO_LUP_2022_SD-2022-228_V1,ID_OFO_LUP_2022,IDB03,11,4/26/2024 18:00,2024-04-26,Jordan Rodriguez,Jordan Rodriguez,,,,Spoke,,circle,2827.43,30,,,Yes,23,"PF11003, PF11005, PF11006, AF11003, PF11004, AF11004","BRTE, PIDE4, ATCO, DEPIN, PHHO, CHVI8, PFXXXX, TEGL, EROV, GIIN2, AMTE3, PFXXXX, ALNE, POSE, GRSP, ACHY, PFXXXX, AFXXXX, PFXXXX, ASPU9, CHDO, ERCI6, MEAL6, AFXXXX, SADO4, CRHU2, ELEL5, CETE5",04/29/2024 17:30:16.988,jordantylerrodriguez,05/30/2024 19:21:22.128,nredecker2,"BRTE, PIDE4, ATCO, DEPIN, PHHO, CHVI8, PFXXXX, TEGL, EROV, GIIN2, AMTE3, PFXXXX, ALNE, POSE, GRSP, ACHY, PFXXXX, AFXXXX, PFXXXX, ASPU9, CHDO, ERCI6, MEAL6, AFXXXX, SADO4, CRHU2, ELEL5, CETE5",-116.3892427,42.96776945
4,e1b0e212-0a1f-4678-9ec6-3bbf2746df0d,ID,LowWD-2022-NR-005,ID_OFO_LUP_2022_LowWD-2022-NR-005_V1,ID_OFO_LUP_2022,IDB03,11,4/26/2024 18:00,2024-04-26,Jordan Rodriguez,Jordan Rodriguez,,,,Spoke,,circle,2827.43,30,,,Yes,22,PF11007,"AGCR, BRTE, POSE, FEID, PHLO2, CETE5, DRVE2, ACMI2, COPA3, EROV, LIGL2, PSSP6, LOTR2, PHHO, LECI4, ARTRW8, ERUM, SIAL2, ELEL5, DEPI, CHVI8, ARHO2, CAMI2, MYST2, STAC, PFXXXX, PFXXXX, PFXXXX, PFXXXX, AFXXXX, TRDU, PFXXXX, SHXXXX, ARARA",04/29/2024 17:30:18.810,jordantylerrodriguez,05/30/2024 19:21:23.784,nredecker2,"AGCR, BRTE, POSE, FEID, PHLO2, CETE5, DRVE2, ACMI2, COPA3, EROV, LIGL2, PSSP6, LOTR2, PHHO, LECI4, ARTRW8, ERUM, SIAL2, ELEL5, DEPI, CHVI8, ARHO2, CAMI2, MYST2, STAC, PFXXXX, PFXXXX, PFXXXX, PFXXXX, AFXXXX, TRDU, PFXXXX, SHXXXX, ARARA",-116.9559484,43.33516162
6,511e4f6e-c770-49a6-809d-9c378c8bb26f,ID,BigWD-2022-078,ID_OFO_LUP_2022_BigWD-2022-078_V2,ID_OFO_LUP_2022,IDB03,11,4/27/2024 18:00,2024-04-27,Jordan Rodriguez,Jordan Rodriguez,,,,Spoke,,circle,2827.43,30,,,Yes,25,"PF11013, PF11014, PF11016, PF11015, PF11017, AF11006","PSSP6, POSE, BRTE, NOTR2, PFXXXX, DEPI, PHHO, PFXXXX, PFXXXX, ASPU9, STAC, LIGL2, DRVE2, ZIVE, CETE5, COPA3, PHAC2, ALNE, ERCH4, HOUM, FEID, PFXXXX, PLMA4, MIGR, PHLI, PFXXXX, AFXXXX",04/29/2024 17:30:24.313,jordantylerrodriguez,05/30/2024 19:21:26.118,nredecker2,"PSSP6, POSE, BRTE, NOTR2, PFXXXX, DEPI, PHHO, PFXXXX, PFXXXX, ASPU9, STAC, LIGL2, DRVE2, ZIVE, CETE5, COPA3, PHAC2, ALNE, ERCH4, HOUM, FEID, PFXXXX, PLMA4, MIGR, PHLI, PFXXXX, AFXXXX",-116.7434685,43.32865588
7,36e6c2b9-637b-4509-8249-90b5f1f66f3b,ID,BigWD-2022-082,ID_OFO_LUP_2022_BigWD-2022-082_V1,ID_OFO_LUP_2022,IDB03,11,4/28/2024 18:00,2024-04-28,Jordan Rodriguez,Jordan Rodriguez,,,,Spoke,,circle,2827.43,30,,,Yes,23,"PF11019, PF11021, PF11018, PF11022, PF11020","ARTRW8, TEGL, DEPI, POSE, BRTE, PIDE4, ATCO, PFXXXX, SPGR2, HAGL, PFXXXX, GRSP, KRLA2, PFXXXX, AMTE3, PHAC2, CETE5, GUSA2, ERCI6, PFXXXX, PLMA4, HOUM, BASA3, PFXXXX, EROV, COUM, CHTE2, ALNE, MEAL6, ERTR13, TESP2, POBU, PSSP6, SIAL2, ERMI4, AFXXXX",04/29/2024 17:30:26.136,jordantylerrodriguez,05/30/2024 19:21:27.356,nredecker2,"ARTRW8, TEGL, DEPI, POSE, BRTE, PIDE4, ATCO, PFXXXX, SPGR2, HAGL, PFXXXX, GRSP, KRLA2, PFXXXX, AMTE3, PHAC2, CETE5, GUSA2, ERCI6, PFXXXX, PLMA4, HOUM, BASA3, PFXXXX, EROV, COUM, CHTE2, ALNE, MEAL6, ERTR13, TESP2, POBU, PSSP6, SIAL2, ERMI4, AFXXXX",-116.6613721,43.28999617
8,805b64ac-e981-45eb-b606-927ba17ae19b,ID,SD-292,ID_BFO_LUP_2022_SD-292_V1,ID_BFO_LUP_2022,IDB02,13,4/24/2024 18:00,2024-04-24,Richelle Yunger,Richelle Yunger,Richelle Yunger,Richelle Yunger,,Spoke,,circle,2827.43,30,,,Yes,15,AG13001,"BRTE, ARTRW8, SATR12, POSE, CETE5, ATCO, SIAL2, GRSP, CHTE2, PIDE4, SAVE4, AGXXXX, DEPI",04/30/2024 15:45:43.630,richelle.yunger,05/30/2024 19:21:28.706,nredecker2,"BRTE, ARTRW8, SATR12, POSE, CETE5, ATCO, SIAL2, GRSP, CHTE2, PIDE4, SAVE4, AGXXXX, DEPI",-115.7787785,42.82690742
9,058247a1-278d-4b35-92c2-8f5773ffcc38,ID,BigWD-090,ID_BFO_LUP_2022_BigWD-090_V1,ID_BFO_LUP_2022,IDB02,13,4/24/2024 18:00,2024-04-24,Celine Knudsen,Celine Knudsen,,,,Spoke,,circle,2827.43,30,,,Yes,15,AF13001,"DENU2, TRDU, BRTE, SATR12, POSE, AGCR, SIAL2, DEPI, AFXXXX",04/30/2024 15:45:45.399,richelle.yunger,05/30/2024 19:21:30.022,nredecker2,"DENU2, TRDU, BRTE, SATR12, POSE, AGCR, SIAL2, DEPI, AFXXXX",-115.6839381,42.69067244
10,ae270610-5cf4-48a1-a63d-f2dd27f7f9b2,ID,Black-139,ID_BFO_LUP_2022_Black-139_V1,ID_BFO_LUP_2022,IDB02,13,4/25/2024 18:00,2024-04-25,Richelle Yunger,Richelle Yunger,,,,Spoke,,circle,2827.43,30,,,Yes,15,PG13002,"ARTRW8, BRTE, POSE, DEPI, SIAL2, PGXXXX, CETE5, SATR12, PIDE4, ATCO, TRDU, ACMI2, SHXXXX, ARARA, PGXXXX, DRVE2, PGXXXX",04/30/2024 15:45:46.948,richelle.yunger,05/30/2024 19:21:31.067,nredecker2,"ARTRW8, BRTE, POSE, DEPI, SIAL2, PGXXXX, CETE5, SATR12, PIDE4, ATCO, TRDU, ACMI2, SHXXXX, ARARA, PGXXXX, DRVE2, PGXXXX",-115.719826,42.56973315
11,6cff9b6d-320b-4590-bacf-4a070035e117,ID,BigWD-097,ID_BFO_LUP_2022_BigWD-097_V2,ID_BFO_LUP_2022,IDB02,13,4/26/2024 18:00,2024-04-26,Richelle Yunger,Richelle Yunger,,,,Spoke,,circle,2827.43,30,,,Yes,19,"PF13003, PF13004, PF13005","ARTRW8, SIAL2, POSE, BRTE, PHHO, PSSP6, SATR12, ELEL5, ATCO, DEPI, GUSA2, TECA2, ACHY, PFXXXX, PFXXXX, PFXXXX, GRSP, ARARA",04/30/2024 15:45:48.385,richelle.yunger,05/30/2024 19:21:32.632,nredecker2,"ARTRW8, SIAL2, POSE, BRTE, PHHO, PSSP6, SATR12, ELEL5, ATCO, DEPI, GUSA2, TECA2, ACHY, PFXXXX, PFXXXX, PFXXXX, GRSP, ARARA",-115.9605635,42.63300322
